additives_n,energy_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g
0,2412,39.1,23.5,49.3,42,2,7.5,0.0254,0.01
0,2338,35.9,23,47.6,27.1,2,11.8,0.0254,0.01
0,2420,42,18.9,32,20.2,13.3,12.7,0.0254,0.01
0,2357,42.1,26.1,27.6,14.2,21,9.3,0.0254,0.01
0,2453,36,25.5,44.4,23.6,5.7,8.8,0.0254,0.01
0,2305,36.8,26.2,34.9,25.5,7.2,8.6,0.0254,0.01
1,697,0.4,0.27,34.5,2.24,,4.3,4.2164,1.66
1,1009,0.5,,62.6,,,3.4,,
0,1445,0.5,0.1,79.2,59.2,3.7,3.1,0,0
1,1199,0.5,0,62.6,53.4,7.3,3.4,0,0
0,1252,0.9,0.1,63.8,47.9,9.8,3.3,0,0
2,59,0.5,0.5,2.21,1.25,1.11,0.75,0.32004,0.126
0,3700,100,14,0,,,0,,
3,1.486,2.6,,70.9,,,10.9,,
7,2094,37.7,23.3,39.1,8,10,8.3,0.0254,0.01
,623,11.1,3.1,0.5,,,12.5,0.36,0.141732283
,669,12.1,,0.68,,,1.93,,
1,122,2,,2,,,0.8,,
1,251,2,,3,,,0.8,,
1,122,2,,2,,,0.8,,
0,2144,26.8,2.84,62.2,0.1,0.9,5.6,0.3556,0.14
11,1160,14.6,11,31.8,30.2,,3.1,0.12,0.047244094
9,1293,21.2,16,25.6,22.8,4,3.8,0.06,0.023622047
4,421,6.5,6.3,9,4.2,,1.6,0.1799082,0.07083
2,123.4,0.22,,3.45,,,3.43,,
2,102,0.18,,2.33,,,3.36,,
2,117,0.37,,4.45,,,1.71,,
2,117,0.37,,4.45,,,1.71,,
0,1411,0.6,0.2,74.5,0.1,1.4,7.2,0,0
0,,,,,,,,0.00135,0.00053
0,209,0.7,,10.3,,,1.1,,
0,230,0.7,,13,,,1.1,,
3,143,2,0.4,3.3,1.7,0.3,0.6,0.05,0.019685039
3,593,8,2.6,1.5,0.6,,16,1.5,0.590551181
1,138,0,0,6,1.6,1.5,1.8,0.7112,0.28
2,440,2,0.2,10.5,0.5,3,9.6,1.7,0.669291339
3,1174,23,,7.5,,,11.5,,
0,2206,32.1,3.9,54.5,0.8,,5.4,0.7,0.275590551
0,2372,35.3,4.2,54.6,0.6,2.5,6.9,0.762,0.3
4,2223,24.8,11.4,71.1,0.5,,5.7,3.7,1.456692913
1,1974,16.6,1.9,72.7,0.7,1.4,6.6,1.27,0.5
1,37.8,0.1,0.1,2.4,0.9,1.5,1.3,0.6,0.236220472
2,342.4,1.6,0.8,19.1,0.3,10.8,3.1,1,0.393700787
1,291,0.2,0,15.9,14.3,0.8,0.4,0.01,0.003937008
0,1576.8,1,0.24,78.9,1.21,7.59,8,0.7112,0.28
0,1425,1.73,0.3,70.98,0.28,3.7,9.07,0.00508,0.002
0,2631,50,4.5,19,2.6,10.5,22,0.007,0.002755906
0,1900,39,4,3.9,1.04,25,23,0.06096,0.024
0,2525,51.1,,15.8,,5.8,18.8,,
0,2314,43.9,7.8,26.9,5.9,3.3,18.2,0.03,0.011811024
,1838,22.4,7.54,53.41,23.2,1.43,5.92,0.42926,0.169
6,1898,25.3,2.5,50.9,28.8,1.1,5.3,0.8,0.31496063
0,1585,2,1,81.4,2.8,1,7,1.27,0.5
4,1870,12,3.8,76.4,32,1,7,0.21082,0.083
0,1626,1.6,0.2,84.2,0.1,1.6,7.2,2.010664,0.7916
4,1860,16.5,7.6,66.5,24.7,6,7.5,0.17,0.066929134
0,2380,39.3,17.2,51.2,11,1.4,2.6,0.846582,0.3333
0,210,2.5,0.3,5,5,0.9,1.5,1.3462,0.53
2,747,7.7,0.8,25.3,3.8,0.2,1.7,0.1778,0.07
0,229,1,0.1,11,8,0.1,0.3,0.0762,0.03
2,46,0.8,0.1,8,6,0.8,1.2,0.254,0.1
7,1863,13,4.1,74.2,31,1,6.6,2.28854,0.901
0,1601,2,0.5,80.6,0,3.7,7.5,0.9906,0.39
0,1618,1,0.2,83.8,0,1.5,8.5,0.740664,0.2916
2,419.4,1.9,0.2,12.2,0.5,5.6,5.7,0.4,0.157480315
0,360,7.4,5.1,,0.3,,,0.4,0.157480315
0,2100,32,4.5,48,0.5,5,6,3.048,1.2
0,2115,30,,53,,,6,,
0,2064,24.8,2.9,61.1,0.4,2.3,6.32,0.6858,0.27
1,1785,15,,67,,,6,,
0,96,0.2,0,4.3,2.5,,0.7,0.04,0.015748031
5,2158.8,39.4,16,32.5,25.7,1.9,4.3,0.5,0.196850394
1,1197,20.1,,,,,25.2,,
0,245,2.7,,5.4,,,2.08,,
0,253,2.5,0.4,7,2.5,,3,0.508,0.2
0,179,2,0.3,3.5,0.8,,3.1,0.762,0.3
0,312.9,0.6,,15,,,2.1,,
1,757.85,8.5,,15.4,,,17.2,,
1,745.29,6.5,,19.2,,,15.8,,
0,1276,3.2,0.3,72,57,16,5,0.01,0.003937008
0,837,3,0.3,33,2,10,5,1,0.393700787
0,1084,2.7,0.5,47.1,1.7,2.8,9.6,1.32334,0.521
0,1048,2.4,0.4,44.1,3,6,9.5,1.4605,0.575
5,1037,2.2,0.4,46,2.7,1.7,9.4,2.286,0.9
1,1705,9.1,3.4,67.1,4,5.1,11,1.016,0.4
0,1255,8,,,0,16,8,,
4,782,18.2,,1,,,1.4,,
0,1374,11.34,,51.75,,,4.41,,
1,727,5.9,2.3,0.8,0.8,,29.1,4,1.57480315
6,1267,8.8,,46.8,,,7,,
0,3,0.1,0.1,0.2,0.1,0.1,0,0,0
0,3,0.1,0.1,0.2,0.1,0.1,0,0,0
2,143,0.1,,6.4,,,1.8,,
0,296,3.8,0.5,7.1,5.3,1.4,1.4,1.2192,0.48
0,218,0.3,,11.2,,1.3,2.2,0.0127,0.005
1,,0,0,4,0,3,2,1.397,0.55
0,2174,29.8,10.2,54.7,12.3,,8.2,0.0635,0.025
0,1069,21.2,2.4,3.6,1.8,3.6,11.6,0.0508,0.02
0,1069,21.2,2.4,3.6,1.8,3.6,11.6,0.0508,0.02
0,1068,21,2.8,1.8,1.1,3.8,14,0.359664,0.1416
0,1785,11,1.7,74,0.5,3.1,6.3,2.3,0.905511811
1,1949,22,2.5,51,0.9,11,10,2.9,1.141732283
2,1778,15,1.8,55,3.7,12,11,3.5,1.377952756
0,3400,92,12,,,,,,
5,368,3.8,2.5,12,11,,1.3,0.100076,0.0394
5,336,2.6,0.4,10,9,1.1,3.8,0.2286,0.09
0,68.9,0.47,0.04,14.1,9.8,2.5,2,0.0762,0.03
1,309.8,0.2,0,11.4,0.7,,6.3,0.423164,0.1666
0,283.8,0.8,0.6,12.8,0.3,,4.2,0.846582,0.3333
2,414,2,0.2,10.5,0.5,3,9.6,4.318,1.7
0,73,0.25,0.06,2.3,2.3,2.1,1.5,62.23,24.5
0,133.71,0.1,,5.77,,,1.22,,
1,456.18,2.81,,14.89,,,3.24,,
2,2006.4,21,,67.1,,,5.8,,
2,2006.4,21,6.5,67.1,3.2,3,5.8,2.032,0.8
2,2006.4,21,6.5,67.1,3.2,3,5.8,2.032,0.8
0,1856,13.6,6,68.9,0,,8.1,2.5,0.984251969
5,2232,60,18,0.5,,,0.5,0.32,0.125984252
8,2208,26,15.6,64,2.2,5.3,6.8,1.09982,0.433
1,1878,10.8,3.4,74.3,2,6.4,9.6,1.5875,0.625
3,180,,,8.6,8.6,1.9,0.8,,
0,116,0.3,0.1,3.5,1.9,1.5,2.7,0.00762,0.003
0,122.8,0.7,0.13,2.7,1.4,5,3,0.08382,0.033
0,366,1.7,,10.6,,,7.6,,
9,2.3,0,0,0,0,,0,0.105664,0.0416
7,113,0,0,6.2,6,,0,0,0
8,149,0,0,8.3,8.2,0,0,0,0
2,151,0,0,8.5,8.4,,0,0,0
4,158,,,9.1,9.1,,,,
,129,0,0,7.3,7.2,0.1,0,0,0
,143,0,0,7.9,7.7,0.1,0,0,0
2,156,0,0,8.9,8.9,,,0,0
0,924.98,0.75,,51.14,,,1.68,,
0,1344.55,0,,78.19,,,0.96,,
1,2357,43.9,4.4,31.6,0,6.3,20.7,0.60706,0.239
0,66,0.21,,0.92,,,1.29,,
0,88,0.4,0.15,1.2,0.13,2.4,2,0,0
0,73,0.25,,1.11,,,1.44,,
0,87,0.6,0.2,0.2,0.1,1.5,2.9,0.4064,0.16
0,83,0.28,,1.59,,,1.62,,
1,913,9.5,,24,,,9,,
0,157,0.1,,5,,,4,,
0,71,0.5,,2,,,1,,
0,90,0.2,,3.5,,,1.4,,
0,169,0,0,7.9,5.6,,1.2,0,0
0,62,0.5,,0.5,,,1.5,,
0,170.3,0.1,,7.5,,,2.3,,
0,592,1,,30.5,,,3,,
2,899,20,3,6,1,,1,0.0529082,0.02083
0,360,1,,15.5,,,3.5,,
0,102,0.5,,4.5,,,2,,
0,102,0.5,,4,,,2,,
0,131.5,0.2,,5,,,2.3,,
0,134.5,0.5,,4,,,2.5,,
0,144,0,0,5.1,3.2,,2.4,0.03,0.011811024
0,379,0.5,0,18,1.5,,2.5,0.0105664,0.00416
0,379,0.5,0.1,17,1.9,,3.2,0.03175,0.0125
0,137.5,0.1,,6.6,,,1.7,,
0,101,0.5,,2,,,3,,
0,166,0,0,4.5,2.7,,3.2,0.029972,0.0118
0,240,0.5,,7,,,6,,
0,1128,37.5,,1,,,2.5,,
0,390,2.5,,17,,,0.5,,
4,357,0.5,,21,,,0.5,,
5,397,2,,19,,,0.5,,
3,,,,,50,,,,
3,,,,,55,,,,
0,3761,100,14,0,0,0,0,0,0
0,3761,100,14,0,0,0,0,0,0
0,3761,100,14,0,0,0,0,0,0
0,3761,100,14,0,0,0,0,0,0
0,3761,100,14,0,0,0,0,0,0
0,3761,100,14,0,0,0,0,0,0
0,3761,100,14,0,0,0,0,0,0
0,3761,100,14,0,0,0,0,0,0
0,3761,100,16,0,0,0,0,0,0
0,3761,100,14,0,0,0,0,0,0
0,899,100,14,0,0,0,0,0,0
0,899,100,14,0,0,0,0,0,0
0,899,100,14,0,0,0,0,0,0
0,899,100,14,0,0,0,0,0,0
0,4134,100,14,0,0,0,0,0,0
0,899,100,14,0,0,0,0,0,0
0,3761,100,14,0,0,0,0,0,0
0,3761,100,14,0,0,0,0,0,0
0,899,100,14,0,0,0,0,0,0
0,3761,100,14,0,0,0,0,0,0
0,3586,100,14,0,0,0,0,0,0
0,3883,100,14,0,0,0,0,0,0
0,899,100,14,0,0,0,0,0,0
0,899,100,14,0,0,0,0,0,0
0,800,0.571,0.0357,48.6,45.3,1.05,0.548,0.0041656,0.00164
0,3347,100,14,0,0,0,0,0,0
0,800,0.0571,0.0357,48.65,45.3,1.055,0.548,0.0041656,0.00164
0,800,0.0571,0.0357,48.6,45.3,1.055,0.548,0.0041656,0.00164
0,800,0.0571,0.0357,48.6,45.3,1.055,0.548,0.0041656,0.00164
0,800,0.0571,0.0357,48.6,45.3,1.055,0.548,0.0041656,0.00164
0,800,0.0571,0.0357,48.6,45.3,1.055,0.548,0.0041656,0.00164
0,3347,0.0571,0.0357,48.6,45.3,1.055,0.548,0.0041656,0.00164
0,800,0.0571,0.0357,48.6,45.3,1.055,0.548,0.0041656,0.00164
0,800,0.0571,0.0357,48.6,45.3,1.055,0.548,0.0041656,0.00164
0,800,0.0571,0.0357,48.6,45.3,1.055,0.548,0.0041656,0.00164
0,800,0.0571,0.0357,48.6,45.3,1.055,0.548,0.0041656,0.00164
0,800,0.0571,0.0357,48.6,45.3,1.055,0.548,0.0041656,0.00164
0,800,0.0571,0.0357,48.6,45.3,1.055,0.548,0.0041656,0.00164
0,167,0.2,,6.1,,,1.5,,
1,1636,2.3,0.4,84,2.3,1.5,6.5,1.6002,0.63
0,2260,40,4,29,27,4,17,0,0
1,2230,30,2.6,60,0.6,3.4,4,1.2,0.472440945
0,3700,100,15,0,0,0,0,0,0
0,3700,100,15,0,,0,0,,
0,2180,31.2,3.2,52,1.5,,7,0.5,0.196850394
0,357.55,2.8,0.9,0.2,0.2,1.3,14.2,0.38,0.149606299
1,1546,10.5,1.1,61.3,32,12.7,6.8,41.91,16.5
2,1900,18.5,11,66.5,63.5,3.9,3.6,0.00508,0.002
2,656.4,14.6,3.7,3.7,0,3.9,1.3,2.5,0.984251969
4,412,2,0,10.5,0,24,39,3.5,1.377952756
,1370,22.1,14.8,11.7,1,,20.8,9.652,3.8
2,886,11.1,,12.5,,,14.35,,
2,853,10.6,,14.4,,,11.17,,
2,885,10.9,,12.3,,,13.9,,
2,879,10.9,,14.2,,,13.9,,
1,584,8.4,,1.37,,,14.63,,
1,880,10,,15,,,14,,
1,323.3,0.5,,15.94,,,2.41,,
4,597.4,3,2.5,42,25.5,,0.98,,
13,1025,9,4.2,29,3.3,1.5,11,0.8001,0.315
5,1988.73,24.6,9.66,56.24,26.3,2.35,5,0.00307,0.001208661
0,1918,19.2,,69,,,2.01,,
0,48,0.2,,3.1,,,0.8,,
0,74,0.2,0,3.1,0.8,,0.8,0.1,0.039370079
0,74,0.2,0,3.1,0.8,,0.8,0.1,0.039370079
5,457,4.5,1.9,7.5,1.2,2.3,8.5,1.1,0.433070866
0,3766,100,13,0,0,0,0,0,0
2,1983,25.59,11.53,53.01,,8.4,7.97,0.4318,0.17
0,1464,5.67,,63.9,,,11.6,,
3,2050,24.07,,58.41,,8.5,9.78,0.4318,0.17
0,2207,34,4,46,0.5,5.1,7.4,0.8,0.31496063
6,2179,32,3.9,49,1,5.2,7.1,1.4,0.551181102
2,834,0,0,48,46.8,1.2,0.5,0.00254,0.001
2,999,0,0,58,57.2,0.8,0.4,0,0
2,833,0,0,48,46.9,1.1,0.5,0.00508,0.002
1,606,16,,0.1,,,0.5,,
0,2612,50.4,,22.5,,1,21,,
0,2429,45.8,,9.7,,4,31.6,,
0,2486,50.1,,16.5,,4,18.8,,
0,2700,51.8,,18,,2.9,26.7,,
0,2740,55.1,,16.5,,2,23.8,,
0,2580,48.4,,14,,3,31,,
0,2580,48.4,,14,,3,31,,
3,1927,24,2.5,50,48,4.5,9,0,0
2,834,0,0,48,46.8,1.2,0.5,0,0
2,833,0,0,48,46.9,1.1,5,0.00254,0.001
0,154,2.2,0.3,2.9,1.8,1,0.9,0.8382,0.33
1,146,0.2,0,6.4,5.7,0.7,1.4,0.7,0.275590551
2,156,0.3,,7.1,,,1.4,,
2,96,0.2,,2.9,,,2.3,,
2,143,0.1,,6.4,,,1.8,,
2,162,0.1,,7.1,,,2.2,,
2,162,0.1,,7.1,,,2.2,,
2,140,0.7,,3.6,,,3.1,,
1,135,0.1,,6.7,,,1,,
0,295.28,3,,9.56,,,1.28,,
2,417,1,0.7,13.2,0.3,5.8,6.4,1.27,0.5
5,198,0.3,,10,,,1,,
5,198,0.3,,10,,,1,,
5,198,0.3,,10,,,1,,
0,2657,53.7,,15.4,,2,23.1,,
0,26,0.2,,0.9,,,0.2,,
0,2300,34.5,3.6,49.9,0.9,7.4,6.8,1.016,0.4
0,2308,35,4,49.4,0.9,7.4,6.7,1.016,0.4
0,2154,27.5,3.1,55.5,1,8.2,7.5,0,0
0,2220,31.1,4.7,52.2,0.9,7.7,7.1,1.016,0.4
2,603.1,15.3,,0.1,,2.5,0.9,3.302,1.3
1,504,13.2,,0.1,,,0.5,,
1,665,17,,0,,,0.9,,
0,609,16,,0.1,,,1,,
5,681,16,,0,,,1.9,,
1,2105,25,15,62,52,6,5,0.00762,0.003
1,1244,0.5,,66.5,,6.5,2.5,,
2,867,0.5,0.1,40,25,16,2.4,0,0
2,867,0.5,0.1,40,25,16,2.4,0,0
1,1577,10,,66,,2.1,4,,
0,61,0.2,0.05,0.5,0.3,2.9,1.3,0.0508,0.02
0,87,0.2,0.03,2.1,1.1,1.6,1.8,0.5334,0.21
0,105,0.4,0.06,1.4,0.4,2.2,2.9,0.2032,0.08
0,88,0.4,0.2,1.2,0.1,2.4,2,0.0105664,0.00416
3,2107,23.3,12.6,67.1,30.6,1,5.6,0.5842,0.23
2,2065,25.3,,59.3,,,7.2,,
2,1965,16,2.3,74,71,0.5,6.5,0,0
0,464,7.2,1.2,7.3,4.3,3.7,2.6,1,0.393700787
2,317,5.7,0.7,4.4,2.8,1.3,1.2,1.27,0.5
0,1934,20.7,,65,,,4.1,,
2,353,4,0.28,8.3,3.5,1,3.3,3.302,1.3
2,426,0.2,0,22.3,15,2.2,1.3,2.54,1
0,154,2.2,0.3,2.9,1.8,1,0.9,0.8,0.31496063
0,422,0.8,0.1,20.1,3.4,2.4,3,0.00762,0.003
0,101,0.2,0.03,3.7,1.1,1.6,1.8,0.54102,0.213
0,217,0.4,0.08,8.3,2.1,4.1,3.6,0.0381,0.015
0,153,0.1,0,8.2,4.8,1.8,6,0.19812,0.078
0,499,4.2,2.3,18.3,1,3,1.9,0.04826,0.019
1,1758,12,5,64,6,7,10,1.27,0.5
1,2125,26,10,58,4,3,9,1.016,0.4
1,1811,12,6,69,5,3,10,1.27,0.5
1,2084,26,13,61,32,2,5,0.762,0.3
2,783,3.7,0.7,33.4,0.1,0.7,4.3,1.524,0.6
1,773,3.9,0.4,32.8,0.4,1.6,3.4,1.524,0.6
1,767,3.6,0.4,33.9,0.3,1,2.9,1.524,0.6
1,221,0,0,13,13,0,0,0,0
9,337,0,0,19.6,19.5,0.2,0.1,0,0
1,1722,2,0.3,87,1,2,9,0.762,0.3
0,1654,2,0.6,84,1,2,8,0.0254,0.01
1,260,3.4,0.4,5.5,4,1.1,1.9,1,0.393700787
1,234,4.2,1,6.1,2.7,2.5,1.1,1.0414,0.41
0,179,0.5,0.1,8.2,0.8,4.4,2.3,0.127,0.05
0,105.3,0.4,0.1,3.2,1.2,1.7,2.2,0,0
0,318.9,4.2,0.3,6.8,2.3,2.8,1.5,0.0254,0.01
1,202,1.9,0.3,4.4,4,0.3,3.2,0.127,0.05
1,2293,35.5,16.9,46,44.1,7.7,8,0.0762,0.03
1,2203,35.8,22.6,34.1,28.9,13.9,11.1,0.1016,0.04
0,143,0.5,0.02,3.5,1.5,3,2.4,0.0254,0.01
0,74,0.4,0.11,0.7,0.2,1.8,2,0.381,0.15
0,66,0.3,0.05,0.6,0.4,2.4,1.6,0.3048,0.12
0,73,0.3,0.07,1.1,0.3,2.5,1.4,0.0508,0.02
0,169,0,0,5,0,4.1,3,0.0254,0.01
0,169,0.3,0,4.8,2.3,3.6,2.8,0.0762,0.03
0,194,0.3,0,8.4,2.5,2.2,1.3,0.0762,0.03
0,210,0,0,8.4,0.7,3.3,2.4,0.0254,0.01
0,293,0.3,0,8.8,4.7,5.5,5.2,0.1778,0.07
3,1900,18.5,11,66.5,63.5,3.9,3.6,0.01,0.003937008
0,150,0.9,0.2,1.1,0.5,3.7,4,0.254,0.1
0,3700,100,15,0,0,0,0,0,0
0,3700,100,15,0,0,0,0,0,0
0,2434,38.2,5.8,50.9,1,4,7.3,2.54,1
0,69,0.3,0.04,1.2,1.2,2.1,1.2,0,0
0,68,0.2,0.1,1.9,1,1.4,1,0.1016,0.04
0,58,0.2,0.1,0.3,0.3,3.1,1.3,0.0508,0.02
0,1393,2.5,0.5,61.7,1.6,14,8.2,0.0254,0.01
0,264,0.5,0.1,9.2,0.8,4.6,3.1,0.10668,0.042
1,324,3.9,0.4,8.8,4.4,1,1.3,0.9525,0.375
1,321,3.6,1.8,9.6,7.4,1,1,1.058164,0.4166
0,72.4,0.4,0.1,0.5,0.1,1.3,2.4,0.931164,0.3666
0,1136,4.9,0.6,45,5.7,3.7,9.8,1.00076,0.394
0,153,0.4,0.002,5.7,2.9,1.8,1.6,0.03175,0.0125
0,726,1.5,0.3,29.3,8.1,9.9,5.5,0.0740664,0.02916
0,2486,50.1,,16.5,,4,18.8,,
0,453,7.2,0.8,4.3,4,6.5,3.6,1.322832,0.5208
0,506,6.4,0.4,7.6,2.6,3,6.8,3.75666,1.479
0,1818,11.8,1.5,75,2.1,2.1,7.2,2.434082,0.9583
0,228,0,0,6,1.2,3,6,0,0
0,517,0.4,0.2,26,0.1,1.3,2.9,0.0105664,0.00416
0,130,0.3,0.03,5.2,2.9,1.2,1.2,0.01,0.003937008
0,2580,51.1,4.1,29.2,9.6,8,15.7,0.11,0.043307087
0,2702,51.5,6.2,21.5,6.3,10.3,20.5,0.46,0.181102362
0,2720.1,51.1,4.1,30.1,9.9,8.9,14.5,0.2,0.078740157
0,2626,49.7,8.8,24,5,3.4,20.7,0.7493,0.295
0,2720.1,51.1,4.1,30.1,9.9,8.9,14.5,0.4,0.157480315
,92,0.1,0.1,4.8,4.7,,0.1,0.01,0.003937008
1,1887,45.2,5,8.3,,1.1,2.6,,
0,194,2.6,0.4,3.9,3.1,1.2,0.9,0.7,0.275590551
0,164,1.4,0.2,5.1,2,1.2,1,0.5,0.196850394
0,182,2.6,0.4,4.4,2.2,1.7,0.7,0.4572,0.18
0,182,2.6,0.4,4.4,2.2,1.7,0.7,0.4572,0.18
0,214.1,3.3,0.6,4,3.3,1.3,0.8,0.8,0.31496063
0,2038,22.5,2,66,,,6,0.762,0.3
0,2039,22.6,2,66,,,6,0.762,0.3
2,368,5.7,,1,,,7.8,,
0,2001,22,,60.4,,,6.7,,
0,420,7.3,1.8,3.2,3.2,1,5.3,0.0635,0.025
1,2008,52,,3,,,4,,
2,615.49,8.55,,1.62,,,15.2,,
0,1369,0,,99.5,,,0.6,,
0,921,18,,5,,,10,,
0,1470,7,,58.7,,,13.5,,
0,1567,1,,80,,,8,,
0,2344,45.6,,14.2,,,24.4,,
0,2396,49.7,,11.6,,,17.7,,
0,1452,1.96,,67.9,,,12,,
0,1435,5,,60.8,,,13.8,,
0,2059,24,,60.3,,,6.7,,
0,1554,29.9,,5.9,,,22.9,,
0,1347,6,,44.5,,,21.7,,
0,1546.6,2.6,0.34,77.23,0.69,4.8,7.95,0.04064,0.016
0,1609,3,0.56,77,2.07,5.6,8.47,0.56642,0.223
0,1212,6,,32,,,28,,
0,1700,8,,30,,,43,,
0,1700,8,,0,,,43,,
0,1423,1.2,,31,,,52,,
0,1440.26,0.9,0.1,28,12,1.8,56,0.254,0.1
0,2264,45.9,,17.8,,,24.5,,
0,1290,1,,71,,,2.7,,
0,1507,1.5,,20.4,,,20.4,,
0,1434,3.4,0.741,71.5,0.13,10,13.25,0.002,0.000787402
0,1377,0.53,,50.2,,,19.9,,
0,1567,1,,80,,,8,,
0,2450,49.7,,11.6,,,17.7,,
0,2450,48,,23,,,20,,
1,1565,6.51,,66.17,,,14.45,,
0,2393,50.7,7.9,10.2,0.2,12,20.9,0.11,0.043307087
0,1581,3,0.5,76.6,3.9,,8.8,,
0,1515,2.3,0.5,70.7,3.1,6.8,10.2,0.762,0.3
0,1534,2.3,0.5,76.8,7.4,2,7.5,0.762,0.3
0,833,0,,45,,,4,,
0,1528.84,4,1,84.26,38.14,18.9,4.87,0.017272,0.0068
1,1850,17.7,,62.6,,0.8,7.7,,
1,1776,15.3,,61.5,,,8.1,,
0,1889,20,7.3,68.9,13.5,1.5,6,1.27,0.5
0,1247,1.8,,55.3,,,11.7,,
0,2194,31.4,,37.5,,,21.2,,
1,615,8.55,1.3,1.6,0.03,1.6,15.2,0.100076,0.0394
0,488.62,1.96,,1.04,,,22.6,,
0,1596.3,3.56,0.6,75.7,0.76,4.25,9.67,0.6604,0.26
0,1534,2.3,0.5,76.8,7.4,2,7.5,0.7493,0.295
0,1515,2.3,0.5,70.7,3.1,6.8,10.2,0.7493,0.295
3,741,19.8,,0,,,1.1,,
0,221,0.25,,12.25,,,0.25,,
0,3700,100,13,0,0,,0,0,0
2,891.3,16.66,2.6,5.91,0.63,3.31,10.26,1.4478,0.57
2,1136.3,22.56,3.75,9.75,0.25,3.3,7.99,0.635,0.25
1,847,16.9,2.07,6.1,0.45,1.93,6.9,0.9652,0.38
0,850.3,10.65,1.75,8.29,0.5,2.12,18.55,0.93,0.366141732
1,615.49,8.55,1.35,1.62,0.03,1.65,15.2,0.1016,0.04
0,462.03,1.52,0.46,2.97,0.09,0.1,20.9,0.5334,0.21
2,925,10.55,1.59,18.93,1.46,7.02,12.52,0.5842,0.23
0,1562,9,,67,,,8,,
1,694.8,9,,13,,,8,,
1,1088,23.4,,4,,,9,,
0,2400,38,,50,,,7,,
1,2026,22,13.7,61.8,23.5,6.1,6.6,0.1778,0.07
0,285,0.8,,14.1,,,0.9,,
0,264,3.6,2.5,4.7,4.7,,3,0.3302,0.13
0,239,0.7,0.09,14.7,8.8,3,1.2,0.00508,0.002
0,166.1,0.4,,7.8,,,1.1,,
,166.1,0.4,,7.8,,,,,
0,928.5,11.6,,22.5,,,7.2,,
3,1883.59,16.05,1.8217,65.36,23.75,4.97,8.19,0.7112,0.28
3,1887.05,15.65,1.9469,66.15,23.86,5.74,8.09,0.7874,0.31
7,1522.6,15.8,1.5389,48.46,28.65,3.2,5.2,0.6858,0.27
0,1480.92,28.36,3.3,0.44,,,24.97,1.1938,0.47
0,1504.36,28.84,3.38,0.7,,,25,1.4478,0.57
2,814.7,7.04,1.63,15.24,1.23,7.27,13.94,1.2954,0.51
2,810.92,9.06,1.52,11.13,2.1,4.34,14.81,1.2192,0.48
2,1028.05,11.36,1.86,18.33,1.25,4.29,15.4,1.5610332,0.61458
2,996.28,8.98,1.44,22.22,2.21,4.08,14.92,1.6764,0.66
2,974.95,10.86,1.76,15.64,1.5,4.64,15.89,1.1938,0.47
2,806.49,6.55,1.04,20.13,5.41,4.43,10.97,0.8636,0.34
1,934.56,14.71,2.01,11.28,1.55,5.38,11.71,1.3208,0.52
2,840.22,7.03,1.14,23.09,1.48,4.28,9.03,1.1684,0.46
2,766.03,6.36,1,17.58,2.39,6.18,10.73,0.8382,0.33
1,947.36,8.25,0.865,33.95,1.92,1.83,2.96,1.1684,0.46
0,598.96,0.34,0.07,14.6,0.82,0.41,19.7,0.34036,0.134
0,713.88,0.24,0.05,18.81,1.19,0.66,22.35,0.635,0.25
0,656.6,8.3,1.29,3.8,,3.11,15.3,0.5842,0.23
0,656.6,8.3,1.29,3.8,,3.11,15.3,0.5842,0.23
0,999.81,20.98,,7.72,,,5.43,1.7018,0.67
0,1377.58,27.45,,12.07,,,9.22,1.143,0.45
1,640.03,6.52,0.93,10.66,,2.44,11.65,1.5494,0.61
1,863.18,17.2,,11.94,,,1.4,1.0668,0.42
1,881.58,17.1,,11.94,,,2.7,0.889,0.35
1,909.86,21.2,,6.74,,,0.64,0.6096,0.24
1,535.12,6.7,1.01,3.14,,1.69,12.96,0.02032,0.008
0,821.8,12.87,2.22,7.53,,,12.8,1.016,0.4
0,621.95,6.15,0.81,8.4,,,14.8,1.4732,0.58
2,1072.95,9.09,1.2085,35.56,1.77,3.21,6.26,1.2954,0.51
2,1118.55,11.37,1.1518,34.36,2.08,3.21,5.18,1.15,0.452755906
0,2211.2,37.2,5.63,44.1,,,5,0.3048,0.12
0,2279.98,38.23,4.48,43.32,1.9,6.8,4.39,0.3175,0.125
0,1489.49,0.1,0.048,70.63,0.15,2.67,7.56,1,0.393700787
1,1595.48,4.31,1.171,74.46,0.23,4.89,7.71,1.00076,0.394
0,1518.94,0.16,0.036,80.22,0.16,2.62,7.56,1,0.393700787
0,221.18,2.78,0.38,6.23,,1.2,0.73,0.762,0.3
0,854.64,10.9,1.65,21.2,1.85,1.04,4.86,1.1176,0.44
0,849.97,10.55,1.6,21.16,1.79,1.14,5.34,1.1,0.433070866
1,171.59,1.08,0.09,6.43,0.2,0.41,1.12,0.10922,0.043
0,256.05,1.2,0.23,9.25,7.9,1,3.2,0.14478,0.057
0,202.1,0.84,0.106,7.57,7.57,,2.49,0.12954,0.051
0,141.9,0.85,0.13,2.7,1.5,0.8,3.4,0.2032,0.08
1,211.25,1,0.13,9.45,4.3,0.12,0.8,0.254,0.1
